"","GENE","CANCER_TYPE","SITE","HALLMARK"
"62","AKT1","CESC","Female genital","invasion and metastasis"
"63","AKT1","CESC","Female genital","proliferative signalling"
"64","AKT1","CESC","Female genital","escaping programmed cell death"
"65","AKT1","CESC","Female genital","suppression of growth"
"66","AKT1","CESC","Female genital","change of cellular energetics"
"67","AKT1","CESC","Female genital","angiogenesis"
"68","AKT1","UCEC","Female genital","invasion and metastasis"
"69","AKT1","UCEC","Female genital","proliferative signalling"
"70","AKT1","UCEC","Female genital","escaping programmed cell death"
"71","AKT1","UCEC","Female genital","suppression of growth"
"72","AKT1","UCEC","Female genital","change of cellular energetics"
"73","AKT1","UCEC","Female genital","angiogenesis"
"74","AKT1","OS","Soft tissue and bone","invasion and metastasis"
"75","AKT1","OS","Soft tissue and bone","proliferative signalling"
"76","AKT1","OS","Soft tissue and bone","escaping programmed cell death"
"77","AKT1","OS","Soft tissue and bone","suppression of growth"
"78","AKT1","OS","Soft tissue and bone","change of cellular energetics"
"79","AKT1","OS","Soft tissue and bone","angiogenesis"
"80","AKT1","WDTC","Endocrine and neuroendocrine","invasion and metastasis"
"81","AKT1","WDTC","Endocrine and neuroendocrine","proliferative signalling"
"82","AKT1","WDTC","Endocrine and neuroendocrine","escaping programmed cell death"
"83","AKT1","WDTC","Endocrine and neuroendocrine","suppression of growth"
"84","AKT1","WDTC","Endocrine and neuroendocrine","change of cellular energetics"
"85","AKT1","WDTC","Endocrine and neuroendocrine","angiogenesis"
"86","AKT1","COADREAD","Digestive system","invasion and metastasis"
"87","AKT1","COADREAD","Digestive system","proliferative signalling"
"88","AKT1","COADREAD","Digestive system","escaping programmed cell death"
"89","AKT1","COADREAD","Digestive system","suppression of growth"
"90","AKT1","COADREAD","Digestive system","change of cellular energetics"
"91","AKT1","COADREAD","Digestive system","angiogenesis"
"92","ALDH2","OS","Soft tissue and bone","genome instability and mutations"
"93","ALK","NBL","Peripheral neuroblastic","proliferative signalling"
"94","ALK","NBL","Peripheral neuroblastic","escaping programmed cell death"
"95","ALK","NBL","Peripheral neuroblastic","invasion and metastasis"
"96","ALK","NSCLC","Thoracic","proliferative signalling"
"97","ALK","NSCLC","Thoracic","escaping programmed cell death"
"98","ALK","NSCLC","Thoracic","invasion and metastasis"
"99","ALK","HCC","Digestive system","proliferative signalling"
"100","ALK","HCC","Digestive system","escaping programmed cell death"
"101","ALK","HCC","Digestive system","invasion and metastasis"
"102","ALK","SCLC","Thoracic","proliferative signalling"
"103","ALK","SCLC","Thoracic","escaping programmed cell death"
"104","ALK","SCLC","Thoracic","invasion and metastasis"
"105","ALK","BRCA","Breast","proliferative signalling"
"106","ALK","BRCA","Breast","escaping programmed cell death"
"107","ALK","BRCA","Breast","invasion and metastasis"
"108","AMER1","WT","Urinary and male genital","suppression of growth"
"109","AMER1","COADREAD","Digestive system","suppression of growth"
"110","AMER1","COAD","Digestive system","suppression of growth"
"111","APC","SBC","Digestive system","genome instability and mutations"
"112","APC","SBC","Digestive system","invasion and metastasis"
"113","APC","SBC","Digestive system","suppression of growth"
"114","APC","SBC","Digestive system","escaping programmed cell death"
"115","APC","PRAD","Urinary and male genital","genome instability and mutations"
"116","APC","PRAD","Urinary and male genital","invasion and metastasis"
"117","APC","PRAD","Urinary and male genital","suppression of growth"
"118","APC","PRAD","Urinary and male genital","escaping programmed cell death"
"119","APC","STAD","Digestive system","genome instability and mutations"
"120","APC","STAD","Digestive system","invasion and metastasis"
"121","APC","STAD","Digestive system","suppression of growth"
"122","APC","STAD","Digestive system","escaping programmed cell death"
"123","APC","MEL","Skin","genome instability and mutations"
"124","APC","MEL","Skin","invasion and metastasis"
"125","APC","MEL","Skin","suppression of growth"
"126","APC","MEL","Skin","escaping programmed cell death"
"127","APC","ANSC","Digestive system","genome instability and mutations"
"128","APC","ANSC","Digestive system","invasion and metastasis"
"129","APC","ANSC","Digestive system","suppression of growth"
"130","APC","ANSC","Digestive system","escaping programmed cell death"
"131","APC","HCC","Digestive system","genome instability and mutations"
"132","APC","HCC","Digestive system","invasion and metastasis"
"133","APC","HCC","Digestive system","suppression of growth"
"134","APC","HCC","Digestive system","escaping programmed cell death"
"135","APC","PANCREAS","Digestive system","genome instability and mutations"
"136","APC","PANCREAS","Digestive system","invasion and metastasis"
"137","APC","PANCREAS","Digestive system","suppression of growth"
"138","APC","PANCREAS","Digestive system","escaping programmed cell death"
"139","APC","COAD","Digestive system","genome instability and mutations"
"140","APC","COAD","Digestive system","invasion and metastasis"
"141","APC","COAD","Digestive system","suppression of growth"
"142","APC","COAD","Digestive system","escaping programmed cell death"
"143","APC","VULVA","Female genital","genome instability and mutations"
"144","APC","VULVA","Female genital","invasion and metastasis"
"145","APC","VULVA","Female genital","suppression of growth"
"146","APC","VULVA","Female genital","escaping programmed cell death"
"147","APC","COADREAD","Digestive system","genome instability and mutations"
"148","APC","COADREAD","Digestive system","invasion and metastasis"
"149","APC","COADREAD","Digestive system","suppression of growth"
"150","APC","COADREAD","Digestive system","escaping programmed cell death"
"151","APC","LUAD","Thoracic","genome instability and mutations"
"152","APC","LUAD","Thoracic","invasion and metastasis"
"153","APC","LUAD","Thoracic","suppression of growth"
"154","APC","LUAD","Thoracic","escaping programmed cell death"
"155","APC","HNSC","Head and neck","genome instability and mutations"
"156","APC","HNSC","Head and neck","invasion and metastasis"
"157","APC","HNSC","Head and neck","suppression of growth"
"158","APC","HNSC","Head and neck","escaping programmed cell death"
"159","APC","ESCA","Digestive system","genome instability and mutations"
"160","APC","ESCA","Digestive system","invasion and metastasis"
"161","APC","ESCA","Digestive system","suppression of growth"
"162","APC","ESCA","Digestive system","escaping programmed cell death"
"163","APC","CHOL","Digestive system","genome instability and mutations"
"164","APC","CHOL","Digestive system","invasion and metastasis"
"165","APC","CHOL","Digestive system","suppression of growth"
"166","APC","CHOL","Digestive system","escaping programmed cell death"
"167","APC","NSCLC","Thoracic","genome instability and mutations"
"168","APC","NSCLC","Thoracic","invasion and metastasis"
"169","APC","NSCLC","Thoracic","suppression of growth"
"170","APC","NSCLC","Thoracic","escaping programmed cell death"
"171","AR","DLBCLNOS","Soft tissue and bone","proliferative signalling"
"172","AR","CHOL","Digestive system","proliferative signalling"
"173","AR","PCM","Haematolymphoid","proliferative signalling"
"174","AR","NPC","Head and neck","proliferative signalling"
"175","AR","GBM","Central nervous system","proliferative signalling"
"176","AR","PRAD","Urinary and male genital","proliferative signalling"
"177","AR","STAD","Digestive system","proliferative signalling"
"178","AR","OS","Soft tissue and bone","proliferative signalling"
"179","AR","ESCA","Digestive system","proliferative signalling"
"180","ARID1A","OVT","Female genital","suppression of growth"
"181","ARID1A","OVT","Female genital","escaping programmed cell death"
"182","ARID1A","OVT","Female genital","invasion and metastasis"
"183","ARID1A","OVT","Female genital","genome instability and mutations"
"184","ARID1A","OVT","Female genital","cell replicative immortality"
"185","ARID1A","PAAD","Digestive system","suppression of growth"
"186","ARID1A","PAAD","Digestive system","escaping programmed cell death"
"187","ARID1A","PAAD","Digestive system","invasion and metastasis"
"188","ARID1A","PAAD","Digestive system","genome instability and mutations"
"189","ARID1A","PAAD","Digestive system","cell replicative immortality"
"190","ARID1A","CLLSLL","Haematolymphoid","suppression of growth"
"191","ARID1A","CLLSLL","Haematolymphoid","escaping programmed cell death"
"192","ARID1A","CLLSLL","Haematolymphoid","invasion and metastasis"
"193","ARID1A","CLLSLL","Haematolymphoid","genome instability and mutations"
"194","ARID1A","CLLSLL","Haematolymphoid","cell replicative immortality"
"195","ARID1A","STAD","Digestive system","suppression of growth"
"196","ARID1A","STAD","Digestive system","escaping programmed cell death"
"197","ARID1A","STAD","Digestive system","invasion and metastasis"
"198","ARID1A","STAD","Digestive system","genome instability and mutations"
"199","ARID1A","STAD","Digestive system","cell replicative immortality"
"200","ARID1A","CHOL","Digestive system","suppression of growth"
"201","ARID1A","CHOL","Digestive system","escaping programmed cell death"
"202","ARID1A","CHOL","Digestive system","invasion and metastasis"
"203","ARID1A","CHOL","Digestive system","genome instability and mutations"
"204","ARID1A","CHOL","Digestive system","cell replicative immortality"
"205","ARID1A","GBM","Central nervous system","suppression of growth"
"206","ARID1A","GBM","Central nervous system","escaping programmed cell death"
"207","ARID1A","GBM","Central nervous system","invasion and metastasis"
"208","ARID1A","GBM","Central nervous system","genome instability and mutations"
"209","ARID1A","GBM","Central nervous system","cell replicative immortality"
"210","ARID1A","BCC","Skin","suppression of growth"
"211","ARID1A","BCC","Skin","escaping programmed cell death"
"212","ARID1A","BCC","Skin","invasion and metastasis"
"213","ARID1A","BCC","Skin","genome instability and mutations"
"214","ARID1A","BCC","Skin","cell replicative immortality"
"215","ARID1A","OS","Soft tissue and bone","suppression of growth"
"216","ARID1A","OS","Soft tissue and bone","escaping programmed cell death"
"217","ARID1A","OS","Soft tissue and bone","invasion and metastasis"
"218","ARID1A","OS","Soft tissue and bone","genome instability and mutations"
"219","ARID1A","OS","Soft tissue and bone","cell replicative immortality"
"220","ARID1A","ESCA","Digestive system","suppression of growth"
"221","ARID1A","ESCA","Digestive system","escaping programmed cell death"
"222","ARID1A","ESCA","Digestive system","invasion and metastasis"
"223","ARID1A","ESCA","Digestive system","genome instability and mutations"
"224","ARID1A","ESCA","Digestive system","cell replicative immortality"
"225","ARID1A","HCC","Digestive system","suppression of growth"
"226","ARID1A","HCC","Digestive system","escaping programmed cell death"
"227","ARID1A","HCC","Digestive system","invasion and metastasis"
"228","ARID1A","HCC","Digestive system","genome instability and mutations"
"229","ARID1A","HCC","Digestive system","cell replicative immortality"
"230","ARID1A","NHL","Haematolymphoid","suppression of growth"
"231","ARID1A","NHL","Haematolymphoid","escaping programmed cell death"
"232","ARID1A","NHL","Haematolymphoid","invasion and metastasis"
"233","ARID1A","NHL","Haematolymphoid","genome instability and mutations"
"234","ARID1A","NHL","Haematolymphoid","cell replicative immortality"
"235","ARID1A","COADREAD","Digestive system","suppression of growth"
"236","ARID1A","COADREAD","Digestive system","escaping programmed cell death"
"237","ARID1A","COADREAD","Digestive system","invasion and metastasis"
"238","ARID1A","COADREAD","Digestive system","genome instability and mutations"
"239","ARID1A","COADREAD","Digestive system","cell replicative immortality"
"240","ARID1A","BRCA","Breast","suppression of growth"
"241","ARID1A","BRCA","Breast","escaping programmed cell death"
"242","ARID1A","BRCA","Breast","invasion and metastasis"
"243","ARID1A","BRCA","Breast","genome instability and mutations"
"244","ARID1A","BRCA","Breast","cell replicative immortality"
"245","ARID1A","COAD","Digestive system","suppression of growth"
"246","ARID1A","COAD","Digestive system","escaping programmed cell death"
"247","ARID1A","COAD","Digestive system","invasion and metastasis"
"248","ARID1A","COAD","Digestive system","genome instability and mutations"
"249","ARID1A","COAD","Digestive system","cell replicative immortality"
"250","ARID1A","MLYM","Haematolymphoid","suppression of growth"
"251","ARID1A","MLYM","Haematolymphoid","escaping programmed cell death"
"252","ARID1A","MLYM","Haematolymphoid","invasion and metastasis"
"253","ARID1A","MLYM","Haematolymphoid","genome instability and mutations"
"254","ARID1A","MLYM","Haematolymphoid","cell replicative immortality"
"255","ARID1A","BLCA","Urinary and male genital","suppression of growth"
"256","ARID1A","BLCA","Urinary and male genital","escaping programmed cell death"
"257","ARID1A","BLCA","Urinary and male genital","invasion and metastasis"
"258","ARID1A","BLCA","Urinary and male genital","genome instability and mutations"
"259","ARID1A","BLCA","Urinary and male genital","cell replicative immortality"
"260","ARID1A","UCEC","Female genital","suppression of growth"
"261","ARID1A","UCEC","Female genital","escaping programmed cell death"
"262","ARID1A","UCEC","Female genital","invasion and metastasis"
"263","ARID1A","UCEC","Female genital","genome instability and mutations"
"264","ARID1A","UCEC","Female genital","cell replicative immortality"
"265","ARID1A","NSCLC","Thoracic","suppression of growth"
"266","ARID1A","NSCLC","Thoracic","escaping programmed cell death"
"267","ARID1A","NSCLC","Thoracic","invasion and metastasis"
"268","ARID1A","NSCLC","Thoracic","genome instability and mutations"
"269","ARID1A","NSCLC","Thoracic","cell replicative immortality"
"270","ARID1A","PANCREAS","Digestive system","suppression of growth"
"271","ARID1A","PANCREAS","Digestive system","escaping programmed cell death"
"272","ARID1A","PANCREAS","Digestive system","invasion and metastasis"
"273","ARID1A","PANCREAS","Digestive system","genome instability and mutations"
"274","ARID1A","PANCREAS","Digestive system","cell replicative immortality"
"275","ARID1A","BL","Haematolymphoid","suppression of growth"
"276","ARID1A","BL","Haematolymphoid","escaping programmed cell death"
"277","ARID1A","BL","Haematolymphoid","invasion and metastasis"
"278","ARID1A","BL","Haematolymphoid","genome instability and mutations"
"279","ARID1A","BL","Haematolymphoid","cell replicative immortality"
"280","ARID1A","SCLC","Thoracic","suppression of growth"
"281","ARID1A","SCLC","Thoracic","escaping programmed cell death"
"282","ARID1A","SCLC","Thoracic","invasion and metastasis"
"283","ARID1A","SCLC","Thoracic","genome instability and mutations"
"284","ARID1A","SCLC","Thoracic","cell replicative immortality"
"285","ARID1A","DLBCLNOS","Soft tissue and bone","suppression of growth"
"286","ARID1A","DLBCLNOS","Soft tissue and bone","escaping programmed cell death"
"287","ARID1A","DLBCLNOS","Soft tissue and bone","invasion and metastasis"
"288","ARID1A","DLBCLNOS","Soft tissue and bone","genome instability and mutations"
"289","ARID1A","DLBCLNOS","Soft tissue and bone","cell replicative immortality"
"290","ARID1A","PRAD","Urinary and male genital","suppression of growth"
"291","ARID1A","PRAD","Urinary and male genital","escaping programmed cell death"
"292","ARID1A","PRAD","Urinary and male genital","invasion and metastasis"
"293","ARID1A","PRAD","Urinary and male genital","genome instability and mutations"
"294","ARID1A","PRAD","Urinary and male genital","cell replicative immortality"
"295","ARID1A","RCC","Urinary and male genital","suppression of growth"
"296","ARID1A","RCC","Urinary and male genital","escaping programmed cell death"
"297","ARID1A","RCC","Urinary and male genital","invasion and metastasis"
"298","ARID1A","RCC","Urinary and male genital","genome instability and mutations"
"299","ARID1A","RCC","Urinary and male genital","cell replicative immortality"
"300","ARID1A","MBL","Central nervous system","suppression of growth"
"301","ARID1A","MBL","Central nervous system","escaping programmed cell death"
"302","ARID1A","MBL","Central nervous system","invasion and metastasis"
"303","ARID1A","MBL","Central nervous system","genome instability and mutations"
"304","ARID1A","MBL","Central nervous system","cell replicative immortality"
"305","ARID1A","CCRCC","Urinary and male genital","suppression of growth"
"306","ARID1A","CCRCC","Urinary and male genital","escaping programmed cell death"
"307","ARID1A","CCRCC","Urinary and male genital","invasion and metastasis"
"308","ARID1A","CCRCC","Urinary and male genital","genome instability and mutations"
"309","ARID1A","CCRCC","Urinary and male genital","cell replicative immortality"
"310","ARID1A","LUSC","Thoracic","suppression of growth"
"311","ARID1A","LUSC","Thoracic","escaping programmed cell death"
"312","ARID1A","LUSC","Thoracic","invasion and metastasis"
"313","ARID1A","LUSC","Thoracic","genome instability and mutations"
"314","ARID1A","LUSC","Thoracic","cell replicative immortality"
"315","ARID1A","UCS","Female genital","suppression of growth"
"316","ARID1A","UCS","Female genital","escaping programmed cell death"
"317","ARID1A","UCS","Female genital","invasion and metastasis"
"318","ARID1A","UCS","Female genital","genome instability and mutations"
"319","ARID1A","UCS","Female genital","cell replicative immortality"
"320","ARID1A","CESC","Female genital","suppression of growth"
"321","ARID1A","CESC","Female genital","escaping programmed cell death"
"322","ARID1A","CESC","Female genital","invasion and metastasis"
"323","ARID1A","CESC","Female genital","genome instability and mutations"
"324","ARID1A","CESC","Female genital","cell replicative immortality"
"325","ARID1A","LUAD","Thoracic","suppression of growth"
"326","ARID1A","LUAD","Thoracic","escaping programmed cell death"
"327","ARID1A","LUAD","Thoracic","invasion and metastasis"
"328","ARID1A","LUAD","Thoracic","genome instability and mutations"
"329","ARID1A","LUAD","Thoracic","cell replicative immortality"
"330","ARID1A","LNET","Thoracic","suppression of growth"
"331","ARID1A","LNET","Thoracic","escaping programmed cell death"
"332","ARID1A","LNET","Thoracic","invasion and metastasis"
"333","ARID1A","LNET","Thoracic","genome instability and mutations"
"334","ARID1A","LNET","Thoracic","cell replicative immortality"
"335","ARID1B","MBL","Central nervous system","invasion and metastasis"
"336","ARID1B","MBL","Central nervous system","genome instability and mutations"
"337","ARID1B","MBL","Central nervous system","suppression of growth"
"338","ARID1B","MBL","Central nervous system","proliferative signalling"
"339","ARID1B","DLBCLNOS","Soft tissue and bone","invasion and metastasis"
"340","ARID1B","DLBCLNOS","Soft tissue and bone","genome instability and mutations"
"341","ARID1B","DLBCLNOS","Soft tissue and bone","suppression of growth"
"342","ARID1B","DLBCLNOS","Soft tissue and bone","proliferative signalling"
"343","ARID1B","BLCA","Urinary and male genital","invasion and metastasis"
"344","ARID1B","BLCA","Urinary and male genital","genome instability and mutations"
"345","ARID1B","BLCA","Urinary and male genital","suppression of growth"
"346","ARID1B","BLCA","Urinary and male genital","proliferative signalling"
"347","ARID1B","HCC","Digestive system","invasion and metastasis"
"348","ARID1B","HCC","Digestive system","genome instability and mutations"
"349","ARID1B","HCC","Digestive system","suppression of growth"
"350","ARID1B","HCC","Digestive system","proliferative signalling"
"351","ARID1B","HGGNOS","Central nervous system","invasion and metastasis"
"352","ARID1B","HGGNOS","Central nervous system","genome instability and mutations"
"353","ARID1B","HGGNOS","Central nervous system","suppression of growth"
"354","ARID1B","HGGNOS","Central nervous system","proliferative signalling"
"355","ARID1B","BRCA","Breast","invasion and metastasis"
"356","ARID1B","BRCA","Breast","genome instability and mutations"
"357","ARID1B","BRCA","Breast","suppression of growth"
"358","ARID1B","BRCA","Breast","proliferative signalling"
"359","ARID1B","MLYM","Haematolymphoid","invasion and metastasis"
"360","ARID1B","MLYM","Haematolymphoid","genome instability and mutations"
"361","ARID1B","MLYM","Haematolymphoid","suppression of growth"
"362","ARID1B","MLYM","Haematolymphoid","proliferative signalling"
"363","ARID1B","PRAD","Urinary and male genital","invasion and metastasis"
"364","ARID1B","PRAD","Urinary and male genital","genome instability and mutations"
"365","ARID1B","PRAD","Urinary and male genital","suppression of growth"
"366","ARID1B","PRAD","Urinary and male genital","proliferative signalling"
"367","ARID1B","CCRCC","Urinary and male genital","invasion and metastasis"
"368","ARID1B","CCRCC","Urinary and male genital","genome instability and mutations"
"369","ARID1B","CCRCC","Urinary and male genital","suppression of growth"
"370","ARID1B","CCRCC","Urinary and male genital","proliferative signalling"
"371","ARID1B","LUSC","Thoracic","invasion and metastasis"
"372","ARID1B","LUSC","Thoracic","genome instability and mutations"
"373","ARID1B","LUSC","Thoracic","suppression of growth"
"374","ARID1B","LUSC","Thoracic","proliferative signalling"
"375","ARID1B","PAAD","Digestive system","invasion and metastasis"
"376","ARID1B","PAAD","Digestive system","genome instability and mutations"
"377","ARID1B","PAAD","Digestive system","suppression of growth"
"378","ARID1B","PAAD","Digestive system","proliferative signalling"
"379","ARID1B","ANGS","Soft tissue and bone","invasion and metastasis"
"380","ARID1B","ANGS","Soft tissue and bone","genome instability and mutations"
"381","ARID1B","ANGS","Soft tissue and bone","suppression of growth"
"382","ARID1B","ANGS","Soft tissue and bone","proliferative signalling"
"383","ARID1B","UCEC","Female genital","invasion and metastasis"
"384","ARID1B","UCEC","Female genital","genome instability and mutations"
"385","ARID1B","UCEC","Female genital","suppression of growth"
"386","ARID1B","UCEC","Female genital","proliferative signalling"
"387","ARID1B","HNSC","Head and neck","invasion and metastasis"
"388","ARID1B","HNSC","Head and neck","genome instability and mutations"
"389","ARID1B","HNSC","Head and neck","suppression of growth"
"390","ARID1B","HNSC","Head and neck","proliferative signalling"
"391","ARID1B","WDTC","Endocrine and neuroendocrine","invasion and metastasis"
"392","ARID1B","WDTC","Endocrine and neuroendocrine","genome instability and mutations"
"393","ARID1B","WDTC","Endocrine and neuroendocrine","suppression of growth"
"394","ARID1B","WDTC","Endocrine and neuroendocrine","proliferative signalling"
"395","ARID1B","COADREAD","Digestive system","invasion and metastasis"
"396","ARID1B","COADREAD","Digestive system","genome instability and mutations"
"397","ARID1B","COADREAD","Digestive system","suppression of growth"
"398","ARID1B","COADREAD","Digestive system","proliferative signalling"
"399","ARID2","MBL","Central nervous system","genome instability and mutations"
"400","ARID2","MBL","Central nervous system","suppression of growth"
"401","ARID2","HCC","Digestive system","genome instability and mutations"
"402","ARID2","HCC","Digestive system","suppression of growth"
"403","ARID2","CSCC","Skin","genome instability and mutations"
"404","ARID2","CSCC","Skin","suppression of growth"
"405","ARID2","ESCA","Digestive system","genome instability and mutations"
"406","ARID2","ESCA","Digestive system","suppression of growth"
"407","ARID2","WDTC","Endocrine and neuroendocrine","genome instability and mutations"
"408","ARID2","WDTC","Endocrine and neuroendocrine","suppression of growth"
"409","ARID2","MEL","Skin","genome instability and mutations"
"410","ARID2","MEL","Skin","suppression of growth"
"411","ARID2","CHOL","Digestive system","genome instability and mutations"
"412","ARID2","CHOL","Digestive system","suppression of growth"
"413","ARID2","HNSC","Head and neck","genome instability and mutations"
"414","ARID2","HNSC","Head and neck","suppression of growth"
"415","ARID2","LUAD","Thoracic","genome instability and mutations"
"416","ARID2","LUAD","Thoracic","suppression of growth"
"417","ARID2","SBC","Digestive system","genome instability and mutations"
"418","ARID2","SBC","Digestive system","suppression of growth"
"419","ARID2","STAD","Digestive system","genome instability and mutations"
"420","ARID2","STAD","Digestive system","suppression of growth"
"421","ARID2","OVT","Female genital","genome instability and mutations"
"422","ARID2","OVT","Female genital","suppression of growth"
"423","ARID2","PAAD","Digestive system","genome instability and mutations"
"424","ARID2","PAAD","Digestive system","suppression of growth"
"425","ARID2","NPC","Head and neck","genome instability and mutations"
"426","ARID2","NPC","Head and neck","suppression of growth"
"427","ARID2","NSCLC","Thoracic","genome instability and mutations"
"428","ARID2","NSCLC","Thoracic","suppression of growth"
"429","ARID2","PRCC","Urinary and male genital","genome instability and mutations"
"430","ARID2","PRCC","Urinary and male genital","suppression of growth"
"431","ARNT","SCLC","Thoracic","change of cellular energetics"
"432","ARNT","SCLC","Thoracic","angiogenesis"
"433","ARNT","SCLC","Thoracic","invasion and metastasis"
"434","ARNT","PGNG","Endocrine and neuroendocrine","change of cellular energetics"
"435","ARNT","PGNG","Endocrine and neuroendocrine","angiogenesis"
"436","ARNT","PGNG","Endocrine and neuroendocrine","invasion and metastasis"
"437","ATM","PRAD","Urinary and male genital","escaping programmed cell death"
"438","ATM","PRAD","Urinary and male genital","invasion and metastasis"
"439","ATM","PRAD","Urinary and male genital","tumour promoting inflammation"
"440","ATM","PRAD","Urinary and male genital","cell replicative immortality"
"441","ATM","PRAD","Urinary and male genital","genome instability and mutations"
"442","ATM","PAAD","Digestive system","escaping programmed cell death"
"443","ATM","PAAD","Digestive system","invasion and metastasis"
"444","ATM","PAAD","Digestive system","tumour promoting inflammation"
"445","ATM","PAAD","Digestive system","cell replicative immortality"
"446","ATM","PAAD","Digestive system","genome instability and mutations"
"447","ATM","BLCA","Urinary and male genital","escaping programmed cell death"
"448","ATM","BLCA","Urinary and male genital","invasion and metastasis"
"449","ATM","BLCA","Urinary and male genital","tumour promoting inflammation"
"450","ATM","BLCA","Urinary and male genital","cell replicative immortality"
"451","ATM","BLCA","Urinary and male genital","genome instability and mutations"
"452","ATM","PANET","Digestive system","escaping programmed cell death"
"453","ATM","PANET","Digestive system","invasion and metastasis"
"454","ATM","PANET","Digestive system","tumour promoting inflammation"
"455","ATM","PANET","Digestive system","cell replicative immortality"
"456","ATM","PANET","Digestive system","genome instability and mutations"
"457","ATM","COADREAD","Digestive system","escaping programmed cell death"
"458","ATM","COADREAD","Digestive system","invasion and metastasis"
"459","ATM","COADREAD","Digestive system","tumour promoting inflammation"
"460","ATM","COADREAD","Digestive system","cell replicative immortality"
"461","ATM","COADREAD","Digestive system","genome instability and mutations"
"462","ATM","CLLSLL","Haematolymphoid","escaping programmed cell death"
"463","ATM","CLLSLL","Haematolymphoid","invasion and metastasis"
"464","ATM","CLLSLL","Haematolymphoid","tumour promoting inflammation"
"465","ATM","CLLSLL","Haematolymphoid","cell replicative immortality"
"466","ATM","CLLSLL","Haematolymphoid","genome instability and mutations"
"467","ATM","CHOL","Digestive system","escaping programmed cell death"
"468","ATM","CHOL","Digestive system","invasion and metastasis"
"469","ATM","CHOL","Digestive system","tumour promoting inflammation"
"470","ATM","CHOL","Digestive system","cell replicative immortality"
